gid;ferrovia;operacao;observacao;extensaokm;bitolatipo;produtos;ferrosigla;pnvcoin;operadora;codpnvsimp;modal;bitola_ext;situacao;cod_pnv;wkt;geometria
1202;Ferrovia Centro - Atlântica S.A.;1996-09-01T00:00:00.000Z;Sem Observação;10;BITOLA METRICA;Derivados de petróleo, cimento, calcário, farelo de soja, trigo e soja.;FCA;;VALE;EF-045;Ferrovia;1.000;FERROVIA EM TRAFEGO;045FMG0400;MULTILINESTRING((-44.83810262488277 -21.374128502470093,-44.86628281803557 -21.373421436071766,-44.87167084816377 -21.370660414225753,-44.87338684338178 -21.364221387897356,-44.87141781373713 -21.358021370755853,-44.86185771083268 -21.343781342771262,-44.8611246850151 -21.335743316384786,-44.86479268845227 -21.327243278408684,-44.87142770910813 -21.31746222923815,-44.87751173194782 -21.31000518942791,-44.881927759487944 -21.30884617538557));ST_MultiLineString
1203;Ferrovia Centro - Atlântica S.A.;1996-09-01T00:00:00.000Z;Sem Observação;9;BITOLA METRICA;Derivados de petróleo, cimento, calcário, farelo de soja, trigo e soja.;FCA;;VALE;EF-045;Ferrovia;1.000;FERROVIA EM TRAFEGO;045FMG0350;MULTILINESTRING((-45.01380743411535 -21.217260557350734,-45.0306895403529 -21.21332550546459,-45.03558956760172 -21.210790485543058,-45.03924257091004 -21.202282447589422,-45.04315358545999 -21.197457421908744,-45.05074363534045 -21.196522401499536,-45.05367265078062 -21.194679388449348,-45.05522565042354 -21.19037536991579));ST_MultiLineString
1204;Ferrovia Centro - Atlântica S.A.;1996-09-01T00:00:00.000Z;Sem Observação;8;BITOLA METRICA;Derivados de petróleo, cimento, calcário, farelo de soja, trigo e soja.;FCA;;VALE;EF-045;Ferrovia;1.000;FERROVIA EM TRAFEGO;045FMG0340;MULTILINESTRING((-45.05522565042354 -21.19037536991579,-45.0570516514555 -21.185879350093913,-45.05192558450433 -21.173545318583365,-45.05189854424723 -21.157916264017157,-45.04942749959007 -21.147126231852468,-45.05380748561045 -21.129884161650427,-45.05330346391722 -21.122760137845948,-45.048876397634814 -21.108753098750135,-45.04984639550005 -21.105304084482544,-45.0684355151487 -21.102059031290153));ST_MultiLineString
1206;Ferrovia Centro - Atlântica S.A.;1996-09-01T00:00:00.000Z;Sem Observação;5;BITOLA METRICA;Derivados de petróleo, cimento, calcário, farelo de soja, trigo e soja.;FCA;EF-103;VALE;EF-472;Ferrovia;1.000;FERROVIA EM TRAFEGO;472FRJ0410;MULTILINESTRING((-43.2726351154313 -22.702251710726294,-43.26690006651334 -22.699365714149202,-43.259957002538485 -22.69411671223009,-43.24397183753367 -22.675477685123617,-43.23155573202863 -22.669373692934325,-43.22808869896167 -22.666334690496743));ST_MultiLineString
1207;Ferrovia Centro - Atlântica S.A.;1996-09-01T00:00:00.000Z;Sem Observação;14;BITOLA METRICA;Derivados de petróleo, cimento, calcário, farelo de soja, trigo e soja.;FCA;EF-103;VALE;EF-472;Ferrovia;1.000;FERROVIA EM TRAFEGO;472FRJ0420;MULTILINESTRING((-43.22808869896167 -22.666334690496743,-43.22053062670189 -22.6596436849408,-43.21145054650806 -22.654054686718116,-43.20331148362777 -22.652381699847826,-43.16326820160786 -22.654325799624477,-43.15683115836457 -22.6554208183705,-43.134975030640945 -22.666238906630138,-43.110277851467515 -22.66556596164505,-43.102588802846704 -22.668018988004164,-43.09517175059903 -22.66840400655663,-43.072355547155 -22.653738008565814));ST_MultiLineString
1209;MRS Logística;1996-12-01T00:00:00.000Z;Sem Observação;13;BITOLA LARGA;Minério de ferro, coque, enxofre, calcário, containers, cimento, produtos siderúrgicos, carvão e ferro-gusa;MRS;;MRS Logística S.A.;EF-040;Ferrovia;1.600;FERROVIA COM TRÁFEGO SUSPENSO;040FRJ0850;MULTILINESTRING((-43.426222319681195 -22.71461944503675,-43.435258361376555 -22.70619639499025,-43.44626641842738 -22.698240341933257,-43.45597248171446 -22.696007311561345,-43.46940056791661 -22.692427267858328,-43.486002688020015 -22.69298823092395,-43.49642976016378 -22.692137203595564,-43.50662882628526 -22.68967517127747,-43.519585905276664 -22.684712123931337,-43.53200298912804 -22.682961088854018,-43.537141023828674 -22.6822400743507,-43.55065611181558 -22.679140032077928));ST_MultiLineString
1210;Ferrovia Centro - Atlântica S.A.;1996-09-01T00:00:00.000Z;Sem Observação;12;BITOLA METRICA;Derivados de petróleo, cimento, calcário, farelo de soja, trigo e soja.;FCA;;VALE;EF-103;Ferrovia;1.000;FERROVIA EM TRAFEGO;103FRJ0440;MULTILINESTRING((-43.55059104015308 -22.679189981795176,-43.51950480404083 -22.673926036550483,-43.480803544029385 -22.67991614765365,-43.46664344888483 -22.682121188343444,-43.434638254948844 -22.694913307109214));ST_MultiLineString
1211;MRS Logística;1996-12-01T00:00:00.000Z;Sem Observação;4;BITOLA LARGA;Minério de ferro, coque, enxofre, calcário, containers, cimento, produtos siderúrgicos, carvão e ferro-gusa;MRS;;MRS Logística S.A.;EF-040;Ferrovia;1.600;FERROVIA COM TRÁFEGO SUSPENSO;040FRJ0870;MULTILINESTRING((-43.41222634418806 -22.760388634728482,-43.42025932997176 -22.734074525724534));ST_MultiLineString
1212;MRS Logística;1996-12-01T00:00:00.000Z;Sem Observação;3;BITOLA LARGA;Minério de ferro, coque, enxofre, calcário, containers, cimento, produtos siderúrgicos, carvão e ferro-gusa;MRS;;MRS Logística S.A.;EF-040;Ferrovia;1.600;FERROVIA COM TRÁFEGO SUSPENSO;040FRJ0880;MULTILINESTRING((-43.38850321092532 -22.773770736186925,-43.3987142741683 -22.77016569989739,-43.41222634418806 -22.760388634728482));ST_MultiLineString
1213;MRS Logística;1996-12-01T00:00:00.000Z;Sem Observação;10;BITOLA LARGA;Minério de ferro, coque, enxofre, calcário, containers, cimento, produtos siderúrgicos, carvão e ferro-gusa;MRS;;MRS Logística S.A.;EF-040;Ferrovia;1.600;FERROVIA COM TRÁFEGO SUSPENSO;040FRJ0860;MULTILINESTRING((-43.42025932997176 -22.734074525724534,-43.422384315874574 -22.72330948383161,-43.426222319681195 -22.71461944503675));ST_MultiLineString
1214;Ferrovia Centro - Atlântica S.A.;1996-09-01T00:00:00.000Z;Sem Observação;1;BITOLA METRICA;Derivados de petróleo, cimento, calcário, farelo de soja, trigo e soja.;FCA;;VALE;EF-103;Ferrovia;1.000;FERROVIA EM TRAFEGO;103FRJ0450;MULTILINESTRING((-43.434638254948844 -22.694913307109214,-43.426157248017596 -22.7146693947542));ST_MultiLineString
1215;Ferrovia Centro - Atlântica S.A.;1996-09-01T00:00:00.000Z;Sem Observação;14;BITOLA METRICA;Derivados de petróleo, cimento, calcário, farelo de soja, trigo e soja.;FCA;EF-103;VALE;EF-472;Ferrovia;1.000;FERROVIA EM TRAFEGO;472FRJ0460;MULTILINESTRING((-43.28746525204068 -22.713445714701134,-43.426157248017596 -22.7146693947542));ST_MultiLineString
1216;Ferrovia Centro - Atlântica S.A.;1996-09-01T00:00:00.000Z;Sem Observação;5;BITOLA MISTA;Derivados de petróleo, cimento, calcário, farelo de soja, trigo e soja.;FCA;;VALE;EF-040;Ferrovia;1.000 /1.600;FERROVIA EM TRAFEGO;040FMG0310;MULTILINESTRING((-44.0132727011311 -19.648762985234857,-44.04336684054636 -19.6185728079123));ST_MultiLineString
1217;Estrada de Ferro Vitória Minas;1997-07-01T00:00:00.000Z;Foi outorgada à CVRD em 27/06/1997 por 30 anos para exploração;47;BITOLA METRICA;Minério de ferro, calcário, carvão mineral, ferro-gusa, aço, coque, farelo de soja, escória, derivados de petróleo, cimento e celulose.;EFVM;;VALE;LIG007;Ferrovia;1.000;FERROVIA EM TRAFEGO;007LIG002;MULTILINESTRING((-43.58111242433819 -19.936167027165215,-43.6304175506449 -19.841683563717115,-43.70978199981935 -19.79611522534409,-43.87747617872785 -19.800571895576997));ST_MultiLineString
1218;Estrada de Ferro Vitória Minas;1997-07-01T00:00:00.000Z;Foi outorgada à CVRD em 27/06/1997 por 30 anos para exploração;14;BITOLA METRICA;Minério de ferro, calcário, carvão mineral, ferro-gusa, aço, coque, farelo de soja, escória, derivados de petróleo, cimento e celulose.;EFVM;;VALE;EF-262;Ferrovia;1.000;FERROVIA EM TRAFEGO;262FMG0250;MULTILINESTRING((-43.174537554578016 -19.929637841685874,-43.16754649621135 -19.92567084073923,-43.13008114176329 -19.886247765184,-43.12650210225073 -19.88000974836077,-43.12489607090392 -19.871262717761294,-43.12545705752019 -19.863687687252806,-43.132973045202384 -19.835139561157867,-43.13296003157739 -19.829214538194638,-43.128045992097874 -19.827084539977086,-43.11176787829092 -19.82746957475126));ST_MultiLineString
1219;Estrada de Ferro Vitória Minas;1997-07-01T00:00:00.000Z;Foi outorgada à CVRD em 27/06/1997 por 30 anos para exploração;94;BITOLA METRICA;Minério de ferro, calcário, carvão mineral, ferro-gusa, aço, coque, farelo de soja, escória, derivados de petróleo, cimento e celulose.;EFVM;;VALE;EF-458;Ferrovia;1.000;FERROVIA EM TRAFEGO;458FMG0100;MULTILINESTRING((-43.03786614436893 -19.733801360686034,-43.06021323598198 -19.704702201675126,-43.06802727767089 -19.6987941627384,-43.084773393397434 -19.69780312487405,-43.09358343847621 -19.690304077709705,-43.107648535732665 -19.68951604607974,-43.116669588506106 -19.684772009247816,-43.12330261712531 -19.67678496460729,-43.13037765667022 -19.672253932560768,-43.14424174410455 -19.667778886955897,-43.151389768038314 -19.65612382695852,-43.15726179802961 -19.6511187955077,-43.165296845349104 -19.647051763332254,-43.17598991504935 -19.64462173215631,-43.18786499825465 -19.64449670757622,-43.19512305254383 -19.645942698489204,-43.198291071750226 -19.644588686778107,-43.20273908336485 -19.63589664384346,-43.20804111424527 -19.633073622073045,-43.227318219319876 -19.6196345305391));ST_MultiLineString
1220;Estrada de Ferro Vitória Minas;1997-07-01T00:00:00.000Z;Foi outorgada à CVRD em 27/06/1997 por 30 anos para exploração;30;BITOLA METRICA;Minério de ferro, calcário, carvão mineral, ferro-gusa, aço, coque, farelo de soja, escória, derivados de petróleo, cimento e celulose.;EFVM;;VALE;EF-262;Ferrovia;1.000;FERROVIA EM TRAFEGO;262FMG0240;MULTILINESTRING((-43.11176787829092 -19.82746957475126,-43.10792084270699 -19.823755568191253,-43.108702838789895 -19.819623550544225,-43.11779087679971 -19.808214487657793,-43.11929187850051 -19.80432246947065,-43.11885686546641 -19.799948453362163,-43.115496833340806 -19.796237445798194,-43.10006970288505 -19.786678440105693,-43.09767567916154 -19.783666433270582,-43.094956619674576 -19.765935369802843));ST_MultiLineString
