gid;ferrovia;operacao;observacao;extensaokm;bitolatipo;produtos;ferrosigla;pnvcoin;operadora;codpnvsimp;modal;bitola_ext;situacao;cod_pnv;wkt;geometria
365;América Latina Logística do Brasil;1997-03-01T00:00:00.000Z;Trecho sub-utilizado da América Latina Logística;20;BITOLA METRICA;Farelo de soja, derivados de petróleo, álcool, arroz, adubo e soja;ALL;;América Latina Logística Malha Sul S.A.;EF-277;Ferrovia;1.000;FERROVIA EM TRAFEGO;277FPR0065;MULTILINESTRING((-49.35894441066602 -25.550953302645357,-49.297237418360226 -25.538685385054734,-49.217341786166536 -25.514149423328746,-49.20983435345101 -25.497303700788578,-49.19292732153455 -25.445179598649105));ST_MultiLineString
366;América Latina Logística do Brasil;1997-03-01T00:00:00.000Z;Trecho sub-utilizado da América Latina Logística;23;BITOLA METRICA;Farelo de soja, derivados de petróleo, álcool, arroz, adubo e soja;ALL;;América Latina Logística Malha Sul S.A.;EF-277;Ferrovia;1.000;FERROVIA EM TRAFEGO;277FPR0080;MULTILINESTRING((-49.358938902785354 -25.550944228420637,-49.35676485427895 -25.541218211209056,-49.34953675783476 -25.52730619846807,-49.273481910440545 -25.42824717703934));ST_MultiLineString
368;Ferrovias Bandeirantes S.A.;1999-01-01T00:00:00.000Z;Rubião Júnior  - Ourinhos - Presidente Prudente - Ponta Porã;8,327;BITOLA METRICA;Derivados de petróleo, adubos, grãos, minerais e pellets;FERROBAN;;ALL - América Latina Logística Malha Paulista S.A.;EF-270;Ferrovia;1.000;FERROVIA EM TRAFEGO;270FSP0130;MULTILINESTRING((-49.247956903898725 -23.03256498042406,-49.260026955920715 -23.02407092508825,-49.32236729650111 -23.003794705125088));ST_MultiLineString
369;Ferrovias Bandeirantes S.A.;1999-01-01T00:00:00.000Z;Sem Observação;10;BITOLA LARGA;Derivados de petróleo, adubos, grãos, minerais e pellets;FERROBAN;;ALL - América Latina Logística Malha Paulista S.A.;EF-366;Ferrovia;1.600;FERROVIA EM TRAFEGO;366FSP0270;MULTILINESTRING((-49.73069154378187 -22.2143524230052,-49.75240969392598 -22.218398379078614,-49.76573378899155 -22.22189035498589,-49.77762087601275 -22.22575933562071,-49.78300291057312 -22.225871322181142,-49.78895894853221 -22.225899307033792,-49.81156708563236 -22.22365124283152,-49.81554311397128 -22.224691235619236,-49.8198691281768 -22.220187211753807));ST_MultiLineString
370;Ferrovias Bandeirantes S.A.;1999-01-01T00:00:00.000Z;Sem Observação;7;BITOLA LARGA;Derivados de petróleo, adubos, grãos, minerais e pellets;FERROBAN;;ALL - América Latina Logística Malha Paulista S.A.;EF-366;Ferrovia;1.600;FERROVIA EM TRAFEGO;366FSP0280;MULTILINESTRING((-49.6550240679429 -22.216463622123417,-49.671942163058496 -22.21213756659997,-49.68214723673546 -22.21507554896657,-49.69622733002943 -22.216294516521813,-49.72509149326617 -22.209303422892866,-49.73069154378187 -22.2143524230052));ST_MultiLineString
371;Ferrovias Bandeirantes S.A.;1999-01-01T00:00:00.000Z;Sem Observação;52,29;BITOLA LARGA;Derivados de petróleo, adubos, grãos, minerais e pellets;FERROBAN;;ALL - América Latina Logística Malha Paulista S.A.;EF-366;Ferrovia;1.600;FERROVIA EM TRAFEGO;366FSP0290;MULTILINESTRING((-49.296529480671325 -22.456294225266465,-49.32904367942214 -22.452821131995755,-49.34258276646776 -22.45283309732383,-49.386388060172 -22.45698999685575,-49.39278109801053 -22.455910977370408,-49.3995761301882 -22.45205894893647,-49.4033601384997 -22.44667892386651,-49.40783808440425 -22.418758832611378,-49.414413105025346 -22.411484794966714,-49.42069113118915 -22.406724765272596,-49.42994117822935 -22.402579729725264,-49.43859121057889 -22.394777685262834,-49.442496231214456 -22.39329267101569,-49.44849327736038 -22.395893663088906,-49.45414831180739 -22.39528664686721,-49.46576236288022 -22.387403594592026,-49.488377499872605 -22.384745529064865,-49.4969015442697 -22.381306497407593,-49.51004263484538 -22.383481469941145,-49.51361964591416 -22.37948944938519,-49.51773362881642 -22.36482539699604,-49.51869757196001 -22.343523333685706,-49.52208156277627 -22.333092295214275,-49.527224568139516 -22.323772255414017,-49.54387863943325 -22.31184917874059,-49.55073565424445 -22.3020161330941,-49.55051663251362 -22.295126113944367,-49.55366264628332 -22.29297709975852,-49.557837671976806 -22.292641088130885,-49.56785970405542 -22.28180303152375,-49.577287745940694 -22.275579989641,-49.593342803869696 -22.26044390534152,-49.598916830903406 -22.25753988280345,-49.60847988713517 -22.255904853713755,-49.612121904672144 -22.253966838872994,-49.61511790393738 -22.247225811942737,-49.62050593450167 -22.245928794480946,-49.628878964253936 -22.237889750116825,-49.64327403996685 -22.232417697733226,-49.6550240679429 -22.216463622123417));ST_MultiLineString
372;Ferrovia Novoeste S.A.;1996-07-01T00:00:00.000Z;Abrangendo a antiga SR-10 (Bauru), localizada nos Estados de SP e MS;16;BITOLA METRICA;Derivados de petróleo, minérios de ferro e manganês, soja, produtos siderúrgicos e farelo de soja;NOVOESTE;;América Latina Logística Malha Oeste S.A.;EF-265;Ferrovia;1.000;FERROVIA EM TRAFEGO;265FSP0480;MULTILINESTRING((-49.43847729689309 -22.08379778957949,-49.45535432661332 -22.05690166882949,-49.4563102819491 -22.0394206156097,-49.46946229090796 -22.01353650714784));ST_MultiLineString
373;Ferrovia Novoeste S.A.;1996-07-01T00:00:00.000Z;Abrangendo a antiga SR-10 (Bauru), localizada nos Estados de SP e MS;7;BITOLA METRICA;Derivados de petróleo, minérios de ferro e manganês, soja, produtos siderúrgicos e farelo de soja;NOVOESTE;;América Latina Logística Malha Oeste S.A.;EF-265;Ferrovia;1.000;FERROVIA EM TRAFEGO;265FSP0460;MULTILINESTRING((-49.333474808837074 -22.147132239069894,-49.38410817784434 -22.162363155057953));ST_MultiLineString
374;Ferrovia Novoeste S.A.;1996-07-01T00:00:00.000Z;Abrangendo a antiga SR-10 (Bauru), localizada nos Estados de SP e MS;13;BITOLA METRICA;Derivados de petróleo, minérios de ferro e manganês, soja, produtos siderúrgicos e farelo de soja;NOVOESTE;;América Latina Logística Malha Oeste S.A.;EF-265;Ferrovia;1.000;FERROVIA EM TRAFEGO;265FSP0450;MULTILINESTRING((-49.27735261407286 -22.203799545780434,-49.279582625185995 -22.202701536941053,-49.28514164906159 -22.1986555111065,-49.30284775940959 -22.197516462928874,-49.30572877029806 -22.194914448076684,-49.309189793593426 -22.195284440378483,-49.31398383611443 -22.199305439890605,-49.319731856444704 -22.193641408891775,-49.32366085518356 -22.184582372654926,-49.32651581426289 -22.164294306535066,-49.333474808837074 -22.147132239069894));ST_MultiLineString
375;Ferrovia Novoeste S.A.;1996-07-01T00:00:00.000Z;Abrangendo a antiga SR-10 (Bauru), localizada nos Estados de SP e MS;9;BITOLA METRICA;Derivados de petróleo, minérios de ferro e manganês, soja, produtos siderúrgicos e farelo de soja;NOVOESTE;;América Latina Logística Malha Oeste S.A.;EF-265;Ferrovia;1.000;FERROVIA EM TRAFEGO;265FSP0470;MULTILINESTRING((-49.38410817784434 -22.162363155057953,-49.38946720572772 -22.16015413507739,-49.400407236774015 -22.1467850686181,-49.41410229122745 -22.13539300091563,-49.437714366224355 -22.109283865455232,-49.4381593402629 -22.0993948356479,-49.441563358431175 -22.09815582344411,-49.43847729689309 -22.08379778957949));ST_MultiLineString
376;Ferrovia Novoeste S.A.;1996-07-01T00:00:00.000Z;Abrangendo a antiga SR-10 (Bauru), localizada nos Estados de SP e MS;12;BITOLA METRICA;Derivados de petróleo, minérios de ferro e manganês, soja, produtos siderúrgicos e farelo de soja;NOVOESTE;;América Latina Logística Malha Oeste S.A.;EF-265;Ferrovia;1.000;FERROVIA EM TRAFEGO;265FSP0540;MULTILINESTRING((-49.85847639635779 -21.537130141327527,-49.8885034942015 -21.504742971702004,-49.948669743510756 -21.458711687321));ST_MultiLineString
377;Ferrovia Novoeste S.A.;1996-07-01T00:00:00.000Z;Abrangendo a antiga SR-10 (Bauru), localizada nos Estados de SP e MS;12;BITOLA METRICA;Derivados de petróleo, minérios de ferro e manganês, soja, produtos siderúrgicos e farelo de soja;NOVOESTE;;América Latina Logística Malha Oeste S.A.;EF-265;Ferrovia;1.000;FERROVIA EM TRAFEGO;265FSP0530;MULTILINESTRING((-49.79664426389886 -21.628084561818717,-49.80161515032121 -21.577120400016277,-49.80746116140561 -21.568001358712525,-49.827580244620364 -21.552487263164767,-49.85847639635779 -21.537130141327527));ST_MultiLineString
378;Ferrovia Novoeste S.A.;1996-07-01T00:00:00.000Z;Abrangendo a antiga SR-10 (Bauru), localizada nos Estados de SP e MS;10;BITOLA METRICA;Derivados de petróleo, minérios de ferro e manganês, soja, produtos siderúrgicos e farelo de soja;NOVOESTE;;América Latina Logística Malha Oeste S.A.;EF-265;Ferrovia;1.000;FERROVIA EM TRAFEGO;265FSP0580;MULTILINESTRING((-50.29547161274913 -21.349443507883276,-50.30498560430121 -21.325376414160562,-50.3404237234494 -21.289068220528325));ST_MultiLineString
379;Ferrovia Novoeste S.A.;1996-07-01T00:00:00.000Z;Abrangendo a antiga SR-10 (Bauru), localizada nos Estados de SP e MS;9;BITOLA METRICA;Derivados de petróleo, minérios de ferro e manganês, soja, produtos siderúrgicos e farelo de soja;NOVOESTE;;América Latina Logística Malha Oeste S.A.;EF-265;Ferrovia;1.000;FERROVIA EM TRAFEGO;265FSP0570;MULTILINESTRING((-50.22213424157184 -21.38059078057358,-50.24701641488898 -21.38674773677903,-50.25581745462186 -21.381307699086424,-50.27234351682787 -21.3667156155685,-50.29547161274913 -21.349443507883276));ST_MultiLineString
380;Ferrovia Novoeste S.A.;1996-07-01T00:00:00.000Z;Abrangendo a antiga SR-10 (Bauru), localizada nos Estados de SP e MS;16;BITOLA METRICA;Derivados de petróleo, minérios de ferro e manganês, soja, produtos siderúrgicos e farelo de soja;NOVOESTE;;América Latina Logística Malha Oeste S.A.;EF-265;Ferrovia;1.000;FERROVIA EM TRAFEGO;265FSP0560;MULTILINESTRING((-50.075815421472875 -21.415376245072334,-50.096298595298194 -21.431307240881665,-50.10229564269893 -21.434737236024375,-50.11083769921172 -21.435738217745307,-50.160229970080415 -21.421854054583832,-50.18131305179514 -21.403985950111363,-50.20107314905859 -21.39456087357737,-50.21249221137974 -21.391283835683666,-50.22213424157184 -21.38059078057358));ST_MultiLineString
381;Ferrovia Novoeste S.A.;1996-07-01T00:00:00.000Z;Abrangendo a antiga SR-10 (Bauru), localizada nos Estados de SP e MS;16;BITOLA METRICA;Derivados de petróleo, minérios de ferro e manganês, soja, produtos siderúrgicos e farelo de soja;NOVOESTE;;América Latina Logística Malha Oeste S.A.;EF-265;Ferrovia;1.000;FERROVIA EM TRAFEGO;265FSP0550;MULTILINESTRING((-49.948669743510756 -21.458711687321,-49.98547587730223 -21.423986494158513,-49.994299906358755 -21.414596444730194,-50.0071639560772 -21.40351638034102,-50.01820900857994 -21.39748533529101,-50.03484809938047 -21.392559279646658,-50.04460516435959 -21.393835259241655,-50.05667925385106 -21.398636243431465,-50.075815421472875 -21.415376245072334));ST_MultiLineString
382;Ferrovia Novoeste S.A.;1996-07-01T00:00:00.000Z;Abrangendo a antiga SR-10 (Bauru), localizada nos Estados de SP e MS;13;BITOLA METRICA;Derivados de petróleo, minérios de ferro e manganês, soja, produtos siderúrgicos e farelo de soja;NOVOESTE;;América Latina Logística Malha Oeste S.A.;EF-265;Ferrovia;1.000;FERROVIA EM TRAFEGO;265FSP0500;MULTILINESTRING((-49.590705767752695 -21.911011903469866,-49.59047369822218 -21.887430835364963,-49.590183661877816 -21.875464801207624,-49.58778361309995 -21.863838773316427,-49.59007658880508 -21.850327728125155,-49.583963469114984 -21.822237661363662,-49.610415582121334 -21.802962538753345));ST_MultiLineString
865;Ferrovia Centro - Atlântica S.A.;1996-09-01T00:00:00.000Z;Sem Observação;3;BITOLA METRICA;Derivados de petróleo, cimento, calcário, farelo de soja, trigo e soja.;FCA;EF-116;VALE;EF-262;Ferrovia;1.000;FERROVIA EM TRAFEGO;262EF022;MULTILINESTRING((-44.5767075960973 -20.07579941098915,-44.586667648012366 -20.068778363829267,-44.59346170031941 -20.07108535791851,-44.59856074586637 -20.075457363244986));ST_MultiLineString
383;Ferrovia Novoeste S.A.;1996-07-01T00:00:00.000Z;Abrangendo a antiga SR-10 (Bauru), localizada nos Estados de SP e MS;10;BITOLA METRICA;Derivados de petróleo, minérios de ferro e manganês, soja, produtos siderúrgicos e farelo de soja;NOVOESTE;;América Latina Logística Malha Oeste S.A.;EF-265;Ferrovia;1.000;FERROVIA EM TRAFEGO;265FSP0520;MULTILINESTRING((-49.74292006896348 -21.679067845061955,-49.750472038571466 -21.65164474590801,-49.7623600788742 -21.639356680269582,-49.77996016081889 -21.6289876060321,-49.79664426389886 -21.628084561818717));ST_MultiLineString
384;Ferrovia Novoeste S.A.;1996-07-01T00:00:00.000Z;Abrangendo a antiga SR-10 (Bauru), localizada nos Estados de SP e MS;22;BITOLA METRICA;Derivados de petróleo, minérios de ferro e manganês, soja, produtos siderúrgicos e farelo de soja;NOVOESTE;;América Latina Logística Malha Oeste S.A.;EF-265;Ferrovia;1.000;FERROVIA EM TRAFEGO;265FSP0510;MULTILINESTRING((-49.610415582121334 -21.802962538753345,-49.61175452478571 -21.780008468241924,-49.61767354154718 -21.772721432105048,-49.62351852744797 -21.75482436507745,-49.62839054222996 -21.749167336329364,-49.63090652787802 -21.738563298968366,-49.646349603195226 -21.730579237001344,-49.65328462963621 -21.724416201622667,-49.663453658616625 -21.711956139716207,-49.6716977011346 -21.708512109045746,-49.74292006896348 -21.679067845061955));ST_MultiLineString
385;Ferrovia Novoeste S.A.;1996-07-01T00:00:00.000Z;Abrangendo a antiga SR-10 (Bauru), localizada nos Estados de SP e MS;23;BITOLA METRICA;Derivados de petróleo, minérios de ferro e manganês, soja, produtos siderúrgicos e farelo de soja;NOVOESTE;;América Latina Logística Malha Oeste S.A.;EF-265;Ferrovia;1.000;FERROVIA EM TRAFEGO;265FSP0490;MULTILINESTRING((-49.46946229090796 -22.01353650714784,-49.45748711759918 -21.98011943997587,-49.46169412221589 -21.97242340694518,-49.470580158376784 -21.96529836380636,-49.47286715620735 -21.959495341126686,-49.482861211290455 -21.956471307166993,-49.48565721433984 -21.951349285195214,-49.49289824671653 -21.946555253001538,-49.50343130983583 -21.945131222359148,-49.510356333592064 -21.938057184316772,-49.519790355231436 -21.924707121664312,-49.525555378309086 -21.91996209333408,-49.53945147845437 -21.923952070039036,-49.54358350052046 -21.922469055327987,-49.55807054333443 -21.905305968883262,-49.568963619868555 -21.907769948689225,-49.590705767752695 -21.911011903469866));ST_MultiLineString
386;Ferrovias Bandeirantes S.A.;1999-01-01T00:00:00.000Z;Rubião Júnior  - Ourinhos - Presidente Prudente - Ponta Porã;8,593;BITOLA METRICA;Derivados de petróleo, adubos, grãos, minerais e pellets;FERROBAN;;ALL - América Latina Logística Malha Paulista S.A.;EF-270;Ferrovia;1.000;FERROVIA EM TRAFEGO;270FSP0120;MULTILINESTRING((-49.1665303876426 -23.036023203483534,-49.190087547489256 -23.038423148475047,-49.22150971966962 -23.02824803770867,-49.247956903898725 -23.03256498042406));ST_MultiLineString
387;Ferrovias Bandeirantes S.A.;1999-01-01T00:00:00.000Z;Rubião Júnior  - Ourinhos - Presidente Prudente - Ponta Porã;7,206;BITOLA METRICA;Derivados de petróleo, adubos, grãos, minerais e pellets;FERROBAN;;ALL - América Latina Logística Malha Paulista S.A.;EF-270;Ferrovia;1.000;FERROVIA EM TRAFEGO;270FSP0110;MULTILINESTRING((-49.106478101246424 -23.069605454769707,-49.11530414869448 -23.066410422700574,-49.1665303876426 -23.036023203483534));ST_MultiLineString
388;Ferrovias Bandeirantes S.A.;1999-01-01T00:00:00.000Z;Rubião Júnior  - Ourinhos - Presidente Prudente - Ponta Porã;7,136;BITOLA METRICA;Derivados de petróleo, adubos, grãos, minerais e pellets;FERROBAN;;ALL - América Latina Logística Malha Paulista S.A.;EF-270;Ferrovia;1.000;FERROVIA EM TRAFEGO;270FSP0100;MULTILINESTRING((-49.04773066267284 -23.050821555930295,-49.06819478485236 -23.04734349262896,-49.07390482359723 -23.047899479247754,-49.081236886747696 -23.052999474361027,-49.094813023664905 -23.06897448356785,-49.10030606380765 -23.07045047330777,-49.106478101246424 -23.069605454769707));ST_MultiLineString
389;Ferrovias Bandeirantes S.A.;1999-01-01T00:00:00.000Z;Sem Observação;7,792;BITOLA METRICA;Derivados de petróleo, adubos, grãos, minerais e pellets;FERROBAN;;ALL - América Latina Logística Malha Paulista S.A.;EF-265;Ferrovia;1.000;FERROVIA EM TRAFEGO;265FSP0390;MULTILINESTRING((-48.800692698013876 -22.59907590610512,-48.81254875025069 -22.5907068515264,-48.82901481937395 -22.577936772410773,-48.83876683918622 -22.56324770490087,-48.84627687180989 -22.557797669908485,-48.85628492226062 -22.552893630119296));ST_MultiLineString
390;Ferrovias Bandeirantes S.A.;1999-01-01T00:00:00.000Z;Sem Observação;14,73;BITOLA LARGA;Derivados de petróleo, adubos, grãos, minerais e pellets;FERROBAN;;ALL - América Latina Logística Malha Paulista S.A.;EF-366;Ferrovia;1.600;FERROVIA EM TRAFEGO;366FSP0300;MULTILINESTRING((-49.16010755708189 -22.44108353060905,-49.169045620856245 -22.44316151375701,-49.188783746653996 -22.44267746191058,-49.20840586145524 -22.4387464004289,-49.21141488539244 -22.44028539716322,-49.212274903083596 -22.44439140677585,-49.21554193068188 -22.446605404787235,-49.252539191379654 -22.45418933189828,-49.264110262936484 -22.453204299444415,-49.296529480671325 -22.456294225266465));ST_MultiLineString
391;Ferrovias Bandeirantes S.A.;1999-01-01T00:00:00.000Z;Sem Observação;13,32;BITOLA LARGA;Derivados de petróleo, adubos, grãos, minerais e pellets;FERROBAN;;ALL - América Latina Logística Malha Paulista S.A.;EF-366;Ferrovia;1.600;FERROVIA EM TRAFEGO;366FSP0310;MULTILINESTRING((-49.08715387250564 -22.36853450684194,-49.08917193041965 -22.38378954593727,-49.09313998415672 -22.393340563504857,-49.09920101200735 -22.389515536986977,-49.10390504474311 -22.390323527344457,-49.11406614070024 -22.400637531305996,-49.12611424058546 -22.40815152231906,-49.151046428739946 -22.417420485488034,-49.15782848418671 -22.42138847962877,-49.1598985082522 -22.42501748481402,-49.15446849940039 -22.433871524220244,-49.1553005142088 -22.437066531308975,-49.16010755708189 -22.44108353060905));ST_MultiLineString
392;Ferrovia Novoeste S.A.;1996-07-01T00:00:00.000Z;Abrangendo a antiga SR-10 (Bauru), localizada nos Estados de SP e MS;21;BITOLA METRICA;Derivados de petróleo, minérios de ferro e manganês, soja, produtos siderúrgicos e farelo de soja;NOVOESTE;;América Latina Logística Malha Oeste S.A.;EF-265;Ferrovia;1.000;FERROVIA EM TRAFEGO;265FSP0430;MULTILINESTRING((-49.082436727254496 -22.329455405359177,-49.12632998616299 -22.321211269901532,-49.134482021928356 -22.31549223258604,-49.13874104071341 -22.312539213192995,-49.14895606536906 -22.29850414649651,-49.160610122105204 -22.292249098740733,-49.170489162138175 -22.284201050290132,-49.17755919840422 -22.281042023169643,-49.182055208179875 -22.27449999276175,-49.18618822841641 -22.272325975959195,-49.19061625592858 -22.271987963739207,-49.196076269137066 -22.264500928143896,-49.199870252921855 -22.2506238782127,-49.204390265548525 -22.24500085041251,-49.214581313586145 -22.239012807173403,-49.21478431082263 -22.23762180261719,-49.2212453509552 -22.23713578482339));ST_MultiLineString
393;Ferrovias Bandeirantes S.A.;1999-01-01T00:00:00.000Z;Sem Observação;4,354;BITOLA LARGA;Derivados de petróleo, adubos, grãos, minerais e pellets;FERROBAN;;ALL - América Latina Logística Malha Paulista S.A.;EF-366;Ferrovia;1.600;FERROVIA EM TRAFEGO;366FSP0320;MULTILINESTRING((-49.082436727254496 -22.329455405359177,-49.08715387250564 -22.36853450684194));ST_MultiLineString
394;Ferrovias Bandeirantes S.A.;1999-01-01T00:00:00.000Z;Sem Observação;13,67;BITOLA METRICA;Derivados de petróleo, adubos, grãos, minerais e pellets;FERROBAN;;ALL - América Latina Logística Malha Paulista S.A.;EF-265;Ferrovia;1.000;FERROVIA EM TRAFEGO;265FSP0420;MULTILINESTRING((-49.033572712438435 -22.431686826382148,-49.04106072592475 -22.41984777299007,-49.04754274840362 -22.413263737391205,-49.0551327901335 -22.4107847108693,-49.05897880388319 -22.40701969015969,-49.060530795528024 -22.400780668122174,-49.05986577303049 -22.394599651894197,-49.067398782615065 -22.381328594226417,-49.0601826768666 -22.361212554189564,-49.06210565532075 -22.349652515715487,-49.082436727254496 -22.329455405359177));ST_MultiLineString
396;Ferrovia Novoeste S.A.;1996-07-01T00:00:00.000Z;Abrangendo a antiga SR-10 (Bauru), localizada nos Estados de SP e MS;8;BITOLA METRICA;Derivados de petróleo, minérios de ferro e manganês, soja, produtos siderúrgicos e farelo de soja;NOVOESTE;;América Latina Logística Malha Oeste S.A.;EF-265;Ferrovia;1.000;FERROVIA EM TRAFEGO;265FSP0440;MULTILINESTRING((-49.27735261407286 -22.203799545780434,-49.26717856186511 -22.20829658462256,-49.25728551984782 -22.215666631099474,-49.244205434047664 -22.21507066251837,-49.23837040436397 -22.217746685080858,-49.23157939744799 -22.23031273880234,-49.22388336801668 -22.237168778230185,-49.2212453509552 -22.23713578482339));ST_MultiLineString
397;Ferrovias Bandeirantes S.A.;1999-01-01T00:00:00.000Z;Sem Observação;6,541;BITOLA METRICA;Derivados de petróleo, adubos, grãos, minerais e pellets;FERROBAN;;ALL - América Latina Logística Malha Paulista S.A.;EF-265;Ferrovia;1.000;FERROVIA EM TRAFEGO;265FSP0410;MULTILINESTRING((-48.9879155291628 -22.469636052763036,-49.00427462008686 -22.46458499639497,-49.0163556695664 -22.454879937469055,-49.029951706371016 -22.437564852643188,-49.033572712438435 -22.431686826382148));ST_MultiLineString
398;Ferrovias Bandeirantes S.A.;1999-01-01T00:00:00.000Z;Sem Observação;16,55;BITOLA METRICA;Derivados de petróleo, adubos, grãos, minerais e pellets;FERROBAN;;ALL - América Latina Logística Malha Paulista S.A.;EF-265;Ferrovia;1.000;FERROVIA EM TRAFEGO;265FSP0400;MULTILINESTRING((-48.85628492226062 -22.552893630119296,-48.86654197684601 -22.548844592175392,-48.87648602098062 -22.541956546804986,-48.88825906123023 -22.529750481351467,-48.893779085665 -22.52590845611703,-48.91531619676529 -22.51625937315414,-48.951660355509674 -22.490302205153572,-48.96414142556143 -22.48665716273883,-48.9879155291628 -22.469636052763036));ST_MultiLineString
426;Ferrovias Bandeirantes S.A.;1999-01-01T00:00:00.000Z;Rubião Júnior  - Ourinhos - Presidente Prudente - Ponta Porã;8;BITOLA METRICA;Derivados de petróleo, adubos, grãos, minerais e pellets;FERROBAN;;ALL - América Latina Logística Malha Paulista S.A.;EF-270;Ferrovia;1.000;FERROVIA EM TRAFEGO;270FSP0080;MULTILINESTRING((-48.92917509376033 -23.116793051531438,-48.94482118226385 -23.112439998332196,-48.968583333072 -23.111206932640897,-48.978412387141184 -23.107988897862718,-48.991565428729956 -23.09363582312633));ST_MultiLineString
399;América Latina Logística do Brasil;1997-03-01T00:00:00.000Z;Trecho sub-utilizado da América Latina Logística;29;BITOLA METRICA;Farelo de soja, derivados de petróleo, álcool, arroz, adubo e soja;ALL;;América Latina Logística Malha Sul S.A.;EF-153;Ferrovia;1.000;FERROVIA EM TRAFEGO;153FPR0240;MULTILINESTRING((-49.88016831411018 -24.387206869185462,-49.86890721715644 -24.37990788218526,-49.86119215563738 -24.376380894803734,-49.85450809624481 -24.37149390109023,-49.84123595140412 -24.353691893000853,-49.82311780026414 -24.343398917385166,-49.81500171332292 -24.332990913550645,-49.80843562735239 -24.31985089841285,-49.805715602848856 -24.317756900654707,-49.796468541247144 -24.31718692493918,-49.79374851674206 -24.315092927175392,-49.79213847210414 -24.30475590531743,-49.790392456043534 -24.303310906490438,-49.77640536686574 -24.30366294628415,-49.76747723449243 -24.28108291345933,-49.76355319082162 -24.275539910193956,-49.75736613696957 -24.271338916633336,-49.75112809490062 -24.27080493258536,-49.73084497208982 -24.27331099529752,-49.715463845547944 -24.265102016950074,-49.706262741438074 -24.251578007788574));ST_MultiLineString
400;América Latina Logística do Brasil;1997-03-01T00:00:00.000Z;Trecho sub-utilizado da América Latina Logística;28;BITOLA METRICA;Farelo de soja, derivados de petróleo, álcool, arroz, adubo e soja;ALL;;América Latina Logística Malha Sul S.A.;EF-153;Ferrovia;1.000;FERROVIA EM TRAFEGO;153FPR0230;MULTILINESTRING((-49.706262741438074 -24.251578007788574,-49.710725755735204 -24.247161984088162,-49.71738376600755 -24.23721994012551,-49.72211679808107 -24.237668928162027,-49.72650185154381 -24.245288935553088,-49.73931092047018 -24.24108788927243,-49.745516968361116 -24.24345087812195,-49.761847112314435 -24.255106862673266,-49.76806416030119 -24.2574788514896,-49.774802204821015 -24.25778283356606,-49.780357228019376 -24.253944808333415,-49.78800524364436 -24.24371976095924,-49.79034123687309 -24.237097737538065,-49.7888892161 -24.2336417327223,-49.78419517351493 -24.22991673620546,-49.782774146887554 -24.22462272658933,-49.786655140364836 -24.215042691291206,-49.78750012243823 -24.207945670763237,-49.78500704738187 -24.190033631734618,-49.78712703323741 -24.181575604159743,-49.79168204922486 -24.177500581092236,-49.811817141416924 -24.1660404959541,-49.818075127541995 -24.149539436278964));ST_MultiLineString
401;América Latina Logística do Brasil;1997-03-01T00:00:00.000Z;Trecho sub-utilizado da América Latina Logística;52;BITOLA METRICA;Farelo de soja, derivados de petróleo, álcool, arroz, adubo e soja;ALL;;América Latina Logística Malha Sul S.A.;EF-153;Ferrovia;1.000;FERROVIA EM TRAFEGO;153FPR0235;MULTILINESTRING((-49.706262741438074 -24.251578007788574,-49.680970566643325 -24.24817806915291,-49.678062528824334 -24.24241006238949,-49.68049950391944 -24.230061023897193,-49.67858447180796 -24.224069013788068,-49.66319635051262 -24.217460039361136,-49.6483782170941 -24.20604405092835,-49.63597311746492 -24.200157070033367,-49.62751905561279 -24.197987087793315,-49.59606084757138 -24.196669171282586,-49.57993671908366 -24.189346196856086,-49.56202058942668 -24.185213235592922,-49.55557853763695 -24.18215224543239,-49.550796463616884 -24.169020224570946,-49.55261645971287 -24.164225207115393,-49.563118525235275 -24.1634491761553,-49.566900543141436 -24.161433160502046,-49.56768654001639 -24.158923151826105,-49.55386141906985 -24.14934116505513,-49.545875364723045 -24.148550184997827,-49.542169333773764 -24.14643218970228,-49.54660132521489 -24.13502814786479,-49.54442029673935 -24.130640142460795,-49.53997925802363 -24.127600146776714,-49.53400721533231 -24.126381160037763,-49.516015102381495 -24.1275132124803,-49.51230007137475 -24.125395217183343,-49.50797101094763 -24.115483203264045,-49.48078578106376 -24.099060235114212,-49.476293753220475 -24.09945924849166,-49.47469576143236 -24.105160267768344,-49.47558278892059 -24.111826282734377,-49.46403771864392 -24.113251318170207));ST_MultiLineString
402;América Latina Logística do Brasil;1997-03-01T00:00:00.000Z;Trecho sub-utilizado da América Latina Logística;25;BITOLA METRICA;Farelo de soja, derivados de petróleo, álcool, arroz, adubo e soja;ALL;;América Latina Logística Malha Sul S.A.;EF-153;Ferrovia;1.000;FERROVIA EM TRAFEGO;153FPR0220;MULTILINESTRING((-49.818075127541995 -24.149539436278964,-49.823868143441906 -24.143010403489814,-49.84476317655056 -24.112071266235745,-49.84536615412946 -24.104048243942035,-49.836274942178164 -24.05718814834121,-49.842507921844344 -24.038683083415773,-49.839394872509374 -24.029712068826388,-49.8349668273713 -24.024617067856013,-49.822794738830595 -24.021502093309948,-49.82008971158601 -24.01849009296466,-49.81435061589043 -24.000471062115174,-49.8162506110889 -23.995241043345352));ST_MultiLineString
